Gene	Day49	Day56	Day72	Day91	Day126	Day189
Sm_g00000153	-7.4526761853638	-7.32862225980289	-7.26964214929201	-7.46480338228434	-7.57040065483271	-6.72037043207578
Sm_g00000154	-5.59635459426593	-5.22891021095156	-5.42520736275206	-6.09164367034741	-6.98946731371273	-4.58828561537053
Sm_g00000155	1.12444473299066	NA	NA	0.944180723733822	NA	NA
Sm_g00000156	2.56420242827887	2.73113992821475	2.42570538269689	2.56544737025156	2.28756041544182	1.76978768084303
Sm_g00000157	-2.72049162905454	-2.57512510948231	-2.6652263642483	-2.8192267987459	-3.16528607059185	-2.89567769139124
Sm_g00000158	-5.43600308337026	-7.01608479022768	-6.5909920126586	-5.7968227841211	-6.7001213061251	-4.18665037177527
Sm_g00000159	-1.25518136215994	NA	NA	NA	NA	NA
Sm_g00000160	NA	NA	NA	NA	NA	-1.4839675043396
Sm_g00000161	-1.08869768601262	NA	-1.0283482967717	-1.21678787536049	-1.80132680021847	-1.96728493280963
Sm_g00000162	-7.24957513423149	-6.77887924743943	-6.63715385970633	-7.00037765983524	-7.86736027324222	-7.74276579090273
Sm_g00000164	1.22870834745212	1.03652114655442	1.04110538636221	1.17572527958193	1.17213532885023	1.16436566434756
Sm_g00000166	NA	NA	NA	NA	1.45711047692139	2.55528610415481
Sm_g00000167	-2.29359315780646	-5.05186254748192	-4.6188452485234	-4.23285458504189	-4.71277119398691	-4.78298384967518
Sm_g00000168	-6.51185903742936	-11.2622804721686	-9.13413407371645	-9.71834761918786	-9.05736575873707	-6.79660212522915
Sm_g00000169	1.84377276070671	1.46238057105099	1.21758516727911	1.12616502777635	1.23471442654042	NA
Sm_g00000170	1.73279600186748	1.90457929318647	2.11747430541187	1.99523989663397	2.37199640248212	2.52710749449261
Sm_g00000171	-5.12092586976365	-4.19268986975237	-4.79744033822106	-5.15466022031719	-5.0833080361986	-4.04875632328864
Sm_g00000172	-2.64208814016287	NA	-2.15735652056723	-2.11067037113816	-2.84061683281519	-2.8228566328221
Sm_g00000173	NA	NA	NA	NA	-3.18274447956591	NA
Sm_g00000174	2.43106783630179	NA	NA	NA	NA	NA
Sm_g00000175	3.88038506980557	2.31345022607157	2.3236103253788	2.96197473057412	2.58929488902818	2.3791218236996
Sm_g00000176	-7.50671233740293	-7.5430297182547	-7.86361641179536	-7.75173967885549	-7.5506194688802	-7.00818004095672
Sm_g00000177	NA	NA	NA	NA	NA	-1.6123166039981
Sm_g00000179	2.94500348541369	2.79532213806274	2.45037042436179	3.17162458697211	3.27883334378321	2.87104471095983
Sm_g00000180	NA	-2.0443914018117	-2.87455028957862	-2.11123817570602	-2.56469513564155	-1.64994286086584
Sm_g00000181	-4.12678199998886	-4.5652016833476	-6.12374822240535	-6.24639322591812	-6.67444647245457	-5.48205058519336
Sm_g00000182	NA	NA	-1.51111421955328	NA	NA	NA
Sm_g00000186	2.87049775910344	3.79499321420352	3.57288138496587	3.6866392890279	4.13978230941256	4.62625037308356
Sm_g00000187	3.68331367158524	2.31298022683685	2.75763381091255	3.27807395435771	3.2201930409336	2.77641943423933
Sm_g00000188	-1.16754945464087	NA	NA	NA	NA	NA
Sm_g00000191	NA	-1.55344696435088	NA	NA	-1.17596335129769	NA
Sm_g00000193	-4.56713499690786	-3.27222362086975	-3.59588553431532	-4.04699946555683	-4.08713154755094	NA
Sm_g00000195	1.343053474097	NA	NA	NA	1.25821303309797	1.29964200784509
Sm_g00000196	-3.31402136137344	-3.37295950556655	-3.20591635919335	-3.36235776241745	-3.68774796782941	-3.76670818670252
Sm_g00000198	NA	NA	NA	NA	-1.18891436539518	-1.90773400865069
Sm_g00000200	2.07568267527005	1.21237993336886	1.27080933283046	1.53011019268091	1.56013690323245	2.09484288042676
Sm_g00000201	4.72489057428975	3.64252472485208	3.73814751453318	4.01540631733797	4.10548527929802	3.9588068569013
Sm_g00000202	-2.19038501967373	-2.53682414980156	-3.2680096697255	-2.91269215950226	-3.12254306420441	-4.42505535293717
Sm_g00000203	2.20197569507991	1.49955558759169	1.96791566630907	2.25805690443085	2.29675199154345	2.54481542106074
Sm_g00000206	NA	-1.65453875936638	-1.49747029327723	-1.52986480169735	-1.45103369253593	-1.60133039685335
Sm_g00000207	NA	NA	-1.1834381601715	NA	-1.16474148579366	-1.64015049613753
Sm_g00000208	-1.10258631768497	-1.25992620629754	-1.13077529975934	-1.14523599841527	-1.53176316949996	-2.156417256113
Sm_g00000213	NA	-1.91034798386709	-2.89824278993433	-2.26414823109944	-2.41331906564529	NA
Sm_g00000214	NA	NA	NA	1.25684921687983	1.66423707080646	2.32234154200461
Sm_g00000215	NA	2.01681740478516	1.69744963738728	0.965560896214791	NA	NA
Sm_g00000216	-3.03192114235571	-3.14392467672198	-3.61365575453429	-3.26601453416303	-3.69382633579731	-2.52394697741695
Sm_g00000217	1.69609258711942	1.7674125154351	1.6445467140125	1.76601453173239	1.81410678799078	1.86115404546485
Sm_g00000218	-7.21519074442741	-5.30628946054983	-5.42473201878159	-5.26660735667675	-4.59860800349961	-3.51407859736811
Sm_g00000219	2.21637951686302	1.21742267727484	0.97032196278849	1.51633894379348	1.08912622020009	NA
Sm_g00000221	3.64894554898894	5.70327988036966	5.72202590866236	5.71939462514024	5.53957634775726	4.76286885889394
Sm_g00000222	4.39748207254528	4.2598826698981	4.09536185492377	4.72038006250754	4.43309247177459	4.59030037117236
Sm_g00000223	-1.99751923863573	-2.83403058760696	-2.87632768314776	-3.02986645554897	-3.3061640188365	-3.09321132241695
Sm_g00000224	2.50890539066771	1.55308641523887	1.33503889518814	1.40540145367751	1.51258389394002	NA
Sm_g00000225	1.44863751972471	1.41890380191143	NA	1.0887985131334	1.06867655752398	1.35346400034044
Sm_g00000227	-10.0793470902648	-8.79506400593699	-9.71869933309297	-9.46030892070184	-10.2401292778567	-10.1338671061994
Sm_g00000228	NA	NA	1.05893674833419	1.02605707856427	1.49403864195838	1.82878901410089
Sm_g00000229	NA	0.943851799039259	0.998528954125105	NA	NA	NA
Sm_g00000232	-3.5664527239636	-6.37518071620571	-6.60239656891788	-6.45072374422709	-6.16800231155257	-8.76178369351186
Sm_g00000233	-1.26898376592883	-1.3843396558134	-1.7213182725384	-1.65583315388969	-2.06967404584031	-2.26169262480303
Sm_g00000234	-1.3065628143678	NA	-1.97284359790758	-1.6674855257134	-1.50451943323243	NA
Sm_g00000235	-1.74620444820078	-1.92692943704584	-2.08251441019487	-2.16726509976125	-1.93659043156141	NA
Sm_g00000236	-2.61747731726022	-2.40489532702325	-2.71326058571815	-2.80380833625923	-2.45936180178985	NA
Sm_g00000240	NA	NA	1.13133181365831	NA	NA	1.18782997894109
Sm_g00000241	-1.2869613647916	NA	NA	NA	-1.37862379722364	-1.86713199376728
Sm_g00000242	0.853125596384377	NA	1.08170935101498	0.911038362606443	1.20387095737482	1.32667069525802
Sm_g00000246	NA	NA	NA	NA	NA	1.38417410896061
Sm_g00000247	1.19255291877889	NA	NA	NA	0.914510230884445	NA
Sm_g00000248	-1.78293573589457	-2.08196315813869	-2.75204107755071	-2.39296421950494	-2.66612256257062	-1.70497854688572
Sm_g00000249	1.22548498748529	1.35995741902772	1.24024350847836	1.1330148515376	1.32941399157949	1.6950560931191
Sm_g00000250	-0.932448407503625	NA	NA	-0.974236068031026	-1.12124215885869	NA
Sm_g00000252	NA	1.23011224304179	0.988729808640488	0.904268474655473	NA	NA
Sm_g00000254	-6.59321183745325	-4.9188813172976	-6.06849346368025	-5.52212979396718	-5.38670571459682	-3.15133752641106
Sm_g00000255	-1.90828563087242	-1.72772074883207	-1.3245230511913	-1.70549551218682	-1.87702723026575	NA
Sm_g00000256	1.06848069867487	NA	NA	NA	NA	NA
Sm_g00000257	-1.31433667962253	-1.42887778825207	-1.72227051132332	-1.72275851728267	-1.8070215735585	NA
Sm_g00000258	-4.39597118990998	-3.40737602321961	-3.66909428534241	-3.99983339419143	-3.46119285364974	-1.31187060214131
Sm_g00000259	-2.28174346319614	-2.05316443840345	-2.14776029509139	-2.33459208685054	-1.48904196760358	NA
Sm_g00000260	NA	NA	NA	NA	NA	2.1336235414426
Sm_g00000261	NA	NA	NA	NA	NA	2.20573111122952
Sm_g00000262	1.47971819518771	1.14943237045169	1.15653342225073	1.11739087032819	1.47469267590647	1.37633687036091
Sm_g00000263	3.24614651660439	3.55327821583765	3.48765418707837	3.6344727205987	3.6143735784717	3.51203907772296
Sm_g00000265	-1.40492714803548	-0.977515244608124	NA	-0.983698199452088	-0.903868170968359	-1.06741309339899
Sm_g00000267	-2.25287782044776	NA	-1.6033721041642	-1.80565166277226	-1.39833369677182	NA
Sm_g00000268	NA	-1.40338091529051	-1.25003031463855	-1.16314802539286	NA	NA
Sm_g00000269	NA	NA	NA	NA	NA	1.01250172328162
Sm_g00000270	-2.60273299185155	-3.34211417651264	-3.85627000421084	-2.90616184105463	-3.15974322072093	NA
Sm_g00000271	-3.01117140904731	-1.92786808625428	-2.1580471312114	-2.18231356299807	-1.27884741706659	NA
Sm_g00000272	1.30040043753558	0.935983848885995	NA	NA	NA	NA
Sm_g00000273	NA	NA	NA	1.62178235515135	1.76698378417521	2.67505530964634
Sm_g00000274	NA	NA	NA	1.30913478059686	1.57039890936693	2.43369550497312
Sm_g00000277	-3.80692472067229	-5.41133640439267	-3.37506658329052	-4.00791785129806	NA	NA
Sm_g00000278	1.52903048820352	NA	NA	NA	1.22846492274127	NA
Sm_g00000279	2.2409050951963	2.23692614584025	2.34770541880853	2.38054722320256	2.68312051562389	3.14603523312046
Sm_g00000280	0.933773692361704	NA	1.29002170028967	1.32110652823963	2.12941469460893	3.72693338379582
Sm_g00000281	NA	NA	NA	1.09219446072456	2.07496548706826	3.52912027494237
Sm_g00000282	NA	NA	NA	NA	NA	1.51055909691189
Sm_g00000283	NA	NA	NA	NA	NA	1.07632016265442
Sm_g00000284	NA	NA	NA	-1.03434589958203	NA	NA
Sm_g00000286	-1.93098161307901	-1.50094778779426	-1.90413455012809	-1.85729277519639	-1.97239230734097	-2.01500725976325
Sm_g00000287	-1.93156095605645	-1.71950402406965	-1.81081056732077	-2.06666084665686	-2.0594182570794	-1.39383678445323
Sm_g00000288	-3.70321391772467	-2.1217265258766	-2.73480069160242	-2.70365321302735	-3.33293424489807	-2.26305440022472
Sm_g00000289	NA	-1.49224333537725	-2.00223110252848	-1.40362072866223	-1.74148283576155	NA
Sm_g00000290	1.25503599860566	1.13199003325661	1.22261519485504	1.31053892109528	1.37890215581909	NA
Sm_g00000292	-1.04258007627889	NA	-1.34992282708866	-1.30495717613817	-1.18549880110046	NA
Sm_g00000293	-2.15152378645372	-1.56867031857318	-1.49905260116205	-1.69800957553418	-1.94463751237541	-2.81274794724811
Sm_g00000294	-3.62614670190248	-2.75641862904574	-4.35379756239079	-3.65493221310146	-4.19534092164832	-4.33326594774319
Sm_g00000296	-2.28660763377123	-2.03827001632945	-1.92539612800767	-2.10474328770266	-2.20461403283969	-2.17414643377734
Sm_g00000297	-2.26369490858406	-1.98631624139842	-2.19972815648394	-1.72403278661176	-2.97086084703331	-2.53997421959233
Sm_g00000298	NA	NA	NA	NA	0.921100322996678	1.11700316163444
Sm_g00000301	2.02156047999313	NA	NA	NA	2.12199856007179	3.77932388757381
Sm_g00000302	1.05174195733515	NA	NA	NA	1.02203154572011	2.1774076419154
Sm_g00000305	NA	NA	NA	NA	NA	1.54377504869485
Sm_g00000306	NA	NA	-1.19092394393246	-1.03461381761622	NA	NA
Sm_g00000307	-6.31949899731126	-5.59734972759588	-5.83370215611403	-5.85709401550405	-6.33477596772629	-4.62244865020893
Sm_g00000308	1.50210077619971	1.65296024897243	1.54185395063526	1.42008035618282	1.32838053860235	NA
Sm_g00000314	-5.3602056806221	-4.86227210156868	-4.91696390820695	-5.86742553758758	-5.77396419328048	-4.99853135506277
Sm_g00000316	NA	NA	NA	NA	NA	-1.38630583107143
Sm_g00000317	NA	NA	NA	NA	NA	-1.22249455258195
